T11,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
48,Bahrain,2015,Current health expenditure (% of GDP),5.0,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
48,Bahrain,2020,Current health expenditure (% of GDP),4.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
48,Bahrain,2021,Current health expenditure (% of GDP),4.5,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
48,Bahrain,2022,Current health expenditure (% of GDP),3.8,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
48,Bahrain,2005,Domestic general government health expenditure (% of total government expenditure),9.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
48,Bahrain,2010,Domestic general government health expenditure (% of total government expenditure),8.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
48,Bahrain,2015,Domestic general government health expenditure (% of total government expenditure),8.9,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
48,Bahrain,2020,Domestic general government health expenditure (% of total government expenditure),8.3,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
48,Bahrain,2021,Domestic general government health expenditure (% of total government expenditure),9.0,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
48,Bahrain,2022,Domestic general government health expenditure (% of total government expenditure),8.6,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
50,Bangladesh,2005,Current health expenditure (% of GDP),2.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
50,Bangladesh,2010,Current health expenditure (% of GDP),2.3,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
50,Bangladesh,2015,Current health expenditure (% of GDP),2.3,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
50,Bangladesh,2020,Current health expenditure (% of GDP),2.3,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
50,Bangladesh,2021,Current health expenditure (% of GDP),2.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
50,Bangladesh,2022,Current health expenditure (% of GDP),2.4,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
50,Bangladesh,2005,Domestic general government health expenditure (% of total government expenditure),4.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
50,Bangladesh,2010,Domestic general government health expenditure (% of total government expenditure),4.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
50,Bangladesh,2015,Domestic general government health expenditure (% of total government expenditure),3.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
50,Bangladesh,2020,Domestic general government health expenditure (% of total government expenditure),3.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
50,Bangladesh,2021,Domestic general government health expenditure (% of total government expenditure),3.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
50,Bangladesh,2022,Domestic general government health expenditure (% of total government expenditure),1.2,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
52,Barbados,2005,Current health expenditure (% of GDP),6.8,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
52,Barbados,2010,Current health expenditure (% of GDP),6.8,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
52,Barbados,2015,Current health expenditure (% of GDP),6.8,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
52,Barbados,2020,Current health expenditure (% of GDP),7.3,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
52,Barbados,2021,Current health expenditure (% of GDP),7.9,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
52,Barbados,2022,Current health expenditure (% of GDP),6.3,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
52,Barbados,2005,Domestic general government health expenditure (% of total government expenditure),12.3,Data revision.;Estimates should be viewed with caution as these are derived from scarce data.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
